"”N","1ŒŽ","2ŒŽ","3ŒŽ","4ŒŽ","5ŒŽ","6ŒŽ","7ŒŽ","8ŒŽ","9ŒŽ","10ŒŽ","11ŒŽ","12ŒŽ","”N‚Ì’l"
1877,-1.5,-2.2,1.4,6.6,9.7,16.7,21.1,22.6,17,11.3,2.5,-1.7,8.6
1878,-5.9,-3.8,-0.2,5.3,10.9,16.5,19.8,20.3,18.1,8.7,0.5,-4.9,7.1
1879,-5.9,-4.8,-0.4,3.5,10.9,16.2,21.4,21.6,15.4,7.4,2,0.2,7.3
1880,-7.1,-4.1,0,5.3,11,14.7,20.6,23.5,16.9,9.1,3.6,-3.4,7.5
1881,-4.6,-4.8,-2.3,3.2,12.1,16.8,18.5,21.4,17.6,8.4,3.5,-4.3,7.1
1882,-3.9,-3,-0.9,6.3,11.1,15.2,19,21.5,16.4,9.8,1.2,-4.8,7.3
1883,-5.7,-6.6,-3.6,3.3,8.9,14.3,21,21.7,15.3,10.3,2.1,-3.3,6.5
1884,-5.7,-5.4,-3.4,3.4,10.2,14,19.2,18.4,15.8,7.8,0,-5.8,5.7
1885,-7.6,-5.9,-2.5,3.2,9,14.4,17.9,20.6,16,10.3,4.1,-0.4,6.6
1886,-6.4,-4.6,-0.3,7.2,11.2,16.3,20.7,22.8,18.1,10.9,2.6,-2.8,8
1887,-6.1,-4,-1,4.6,9.6,14.8,19.7,21.8,14.8,10.6,4.4,-1.8,7.3
1888,-5.5,-6.5,-1.1,6.2,11,11.1,20.4,20.4,15.1,10.5,4.9,-2.2,8.3
1889,-7.8,-5.4,-1.6,4.6,8.9,13.9,19.3,20.7,14.9,7.8,1.5,-2.6,6.2
1890,-7,-3.5,1.2,6.9,11.9,15.3,19.1,22.8,19.6,9.2,3.8,0.9,8.4
1891,-7.6,-4.9,1.7,5,11.7,16,18.9,19.1,15.9,9.2,2.9,-2.3,7.1
1892,-7,-5.9,-3.9,4.8,10.9,15.7,21.3,20.7,18,9,1.5,-6.3,6.6
1893,-7.2,-7.6,-1.5,4.9,8.6,14.7,17.8,20.6,14.5,9.9,3.7,-3.7,6.2
1894,-7,-4.7,-0.9,6.2,9.4,17.6,20.6,20.5,16.4,8.4,4.1,-3.1,7.3
1895,-8.9,-4.9,-3.7,5.1,10.6,13.8,17.2,21,16.4,10.4,2.1,-2.4,6.4
1896,-5.9,-5.8,-3.3,5.6,12.3,16.3,18.3,21.2,15.7,8.7,3.5,-3.8,6.9
1897,-6.4,-5.4,-2.7,3.3,9.8,12.9,18.1,20.2,15.6,8.7,2.8,-6,5.9
1898,-5.6,-6,-5.6,4.8,9,14.5,19.4,20.8,14.4,8.5,2.9,-1.8,6.3
1899,-4.9,-4.5,-1.5,5.6,11.8,15.3,19.4,19.5,14.8,9.5,2.3,-3.4,7
1900,-7.6,-7.4,-3,4.9,10.7,14.5,17.2,20.9,16.1,10,3.8,-3.5,6.4
1901,-5.4,-5.3,-1.5,6.9,11.5,14,18.2,20.8,15.9,9.6,3.1,-4.8,6.9
1902,-7.5,-6.4,-0.6,4.3,9.2,13.1,16.4,17.9,17.3,10.1,3.9,-0.3,6.5
1903,-2.7,-4.7,1.1,7.5,9.8,13.8,17.9,19.2,17,8.7,1.9,-5.1,7
1904,-7.6,-3.8,-0.9,6.1,10.8,16.5,19.4,22,15.2,9.5,1.5,-2.3,7.2
1905,-3.3,-7.1,-2.2,2.9,11.2,15.1,18.6,18.7,16,10,3,-2.1,6.7
1906,-7.1,-6.8,-1.2,5.2,11.1,12.9,20,19.9,14.9,9.3,-0.1,-2.4,6.3
1907,-5.4,-6.1,-2.3,5.8,10.6,13.5,18.1,23.3,15.9,8.4,2.4,-5.2,6.6
1908,-8.5,-6.4,-3,5,9.2,13.5,17.4,22,15.3,9.2,0.6,-4.4,5.8
1909,-9.4,-5.9,-3.6,6.4,11,15.2,19,20.8,16,8.1,3.5,-4.2,6.4
